id,label,comment,domains,ranges
addOn,Add On,An additional offer that can only be obtained in combination with the first base offer (e.g. supplements and extensions that are available for a surcharge).,Offer,Offer
alcoholWarning,Alcohol Warning,"Any precaution, guidance, contraindication, etc. related to consumption of alcohol while taking this drug.",Drug,Text
browserRequirements,Browser Requirements,"Specifies browser requirements in human-readable text. For example,""requires HTML5 support"".",WebApplication,Text
hasDeliveryMethod,Has Delivery Method,Method used for delivery or shipping.,DeliveryEvent ParcelDelivery,DeliveryMethod
owns,Owns,Products owned by the organization or person.,Person Organization,OwnershipInfo Product
priceSpecification,Price Specification,"One or more detailed price specifications, indicating the unit price and delivery or payment charges.",Offer Demand,PriceSpecification
eligibleTransactionVolume,Eligible Transaction Volume,"The transaction volume, in a monetary unit, for which the offer or price specification is valid, e.g. for indicating a minimal purchasing volume, to express free shipping above a certain order volume, or to limit the acceptance of credit cards to purchases to a certain minimal amount.",Demand PriceSpecification Offer,PriceSpecification
tracks,Tracks,"A music recording (track)—usually a single song (legacy spelling; see singular form, track).",MusicPlaylist MusicGroup,MusicRecording
address,Address,Physical address of the item.,Person Place Organization,PostalAddress
usesDevice,Uses Device,Device used to perform the test.,MedicalTest,MedicalDevice
confirmationNumber,Confirmation Number,A number that confirms the given order.,Order,Text
bitrate,Bitrate,The bitrate of the media object.,MediaObject,Text
foodEvent,Food Event,A sub property of location. The specific food event where the action occurred.,CookAction,FoodEvent
guidelineDate,Guideline Date,Date on which this guideline's recommendation was made.,MedicalGuideline,Date
box,Box,A polygon is the area enclosed by a point-to-point path for which the starting and ending points are the same. A polygon is expressed as a series of four or more spacedelimited points where the first and final points are identical.,GeoShape,Text
commentText,Comment Text,The text of the UserComment.,UserComments,Text
dosageForm,Dosage Form,"A dosage form in which this drug/supplement is available, e.g. 'tablet', 'suspension', 'injection'.",DietarySupplement Drug,Text
sender,Sender,A sub property of participant. The participant who is at the sending end of the action.,ReceiveAction,Audience Organization Person
preOp,Pre Op,"A description of the workup, testing, and other preparations required before implanting this device.",MedicalDevice,Text
employees,Employees,"People working for this organization. (legacy spelling; see singular form, employee)",Organization,Person
relatedAnatomy,Related Anatomy,Anatomical systems or structures that relate to the superficial anatomy.,SuperficialAnatomy,AnatomicalStructure AnatomicalSystem
encodingFormat,Encoding Format,"mp3, mpeg4, etc.",MediaObject,Text
availableDeliveryMethod,Available Delivery Method,The delivery method(s) available for this offer.,Offer Demand,DeliveryMethod
recipeInstructions,Recipe Instructions,The steps to make the dish.,Recipe,Text
medicineSystem,Medicine System,"The system of medicine that includes this MedicalEntity, for example 'evidence-based', 'homeopathic', 'chiropractic', etc.",MedicalEntity,MedicineSystem
reviewedBy,Reviewed by,People or organizations that have reviewed the content on this web page for accuracy and/or completeness.,WebPage,Organization Person
action,Action,The movement the muscle generates.,Muscle,Text
mentions,Mentions,"Indicates that the CreativeWork contains a reference to, but is not necessarily about a concept.",CreativeWork,Thing
printPage,Print Page,"If this NewsArticle appears in print, this field indicates the name of the page on which the article is found. Please note that this field is intended for the exact page name (e.g. A5, B18).",NewsArticle,Text
costOrigin,Cost Origin,"Additional details to capture the origin of the cost data. For example, 'Medicare Part B'.",DrugCost,Text
honorificPrefix,Honorific Prefix,An honorific prefix preceding a Person's name such as Dr/Mrs/Mr.,Person,Text
followee,Followee,A sub property of object. The person or organization being followed.,FollowAction,Organization Person
eligibleRegion,Eligible Region,"The ISO 3166-1 (ISO 3166-1 alpha-2) or ISO 3166-2 code, or the GeoShape for the geo-political region(s) for which the offer or delivery charge specification is valid.",DeliveryChargeSpecification Offer Demand,Text GeoShape
appliesToDeliveryMethod,Applies to Delivery Method,The delivery method(s) to which the delivery charge or payment charge specification applies.,DeliveryChargeSpecification PaymentChargeSpecification,DeliveryMethod
causeOf,Cause of,"The condition, complication, symptom, sign, etc. caused.",MedicalCause,MedicalEntity
connectedTo,Connected to,Other anatomical structures to which this structure is connected.,AnatomicalStructure,AnatomicalStructure
typeOfGood,Type of Good,The product that this structured value is referring to.,OwnershipInfo TypeAndQuantityNode,Product
predecessorOf,Predecessor of,"A pointer from a previous, often discontinued variant of the product to its newer variant.",ProductModel,ProductModel
usedToDiagnose,Used to Diagnose,A condition the test is used to diagnose.,MedicalTest,MedicalCondition
baseSalary,Base Salary,The base salary of the job.,JobPosting,Number
sodiumContent,Sodium Content,The number of milligrams of sodium.,NutritionInformation,Mass
highPrice,High Price,The highest price of all offers available.,AggregateOffer,Number Text
safetyConsideration,Safety Consideration,"Any potential safety concern associated with the supplement. May include interactions with other drugs and foods, pregnancy, breastfeeding, known adverse reactions, and documented efficacy of the supplement.",DietarySupplement,Text
guideline,Guideline,A medical guideline related to this entity.,MedicalEntity,MedicalGuideline
servicePostalAddress,Service Postal Address,The address for accessing the service by mail.,ServiceChannel,PostalAddress
targetUrl,Target Url,The URL of a node in an established educational framework.,AlignmentObject,URL
manufacturer,Manufacturer,The manufacturer of the product.,Product DietarySupplement Drug,Organization
blogPosts,Blog Posts,"The postings that are part of this blog (legacy spelling; see singular form, blogPost).",Blog,BlogPosting
issuedBy,Issued by,The organization issuing the permit.,Permit,Organization
knows,Knows,The most generic bi-directional social/work relation.,Person,Person
publicationType,Publication Type,"The type of the medical article, taken from the US NLM MeSH <a href=""http://www.nlm.nih.gov/mesh/pubtypes.html"">publication type catalog.</a>",MedicalScholarlyArticle,Text
parentService,Parent Service,A broadcast service to which the broadcast service may belong to such as regional variations of a national channel.,BroadcastService,BroadcastService
award,Award,An award won by this person or for this creative work.,Person CreativeWork,Text
interactionCount,Interaction Count,"A count of a specific user interactions with this item—for example, <code>20 UserLikes</code>, <code>5 UserComments</code>, or <code>300 UserDownloads</code>. The user interaction type should be one of the sub types of <a href=""http://schema.org/UserInteraction"">UserInteraction</a>.",Person CreativeWork Place Organization,Text
workHours,Work Hours,"The typical working hours for this job (e.g. 1st shift, night shift, 8am-5pm).",JobPosting,Text
origin,Origin,The place or point where a muscle arises.,Muscle,AnatomicalStructure
customer,Customer,Party placing the order.,Order,Organization Person
serviceArea,Service Area,The geographic area where the service is provided.,Service,AdministrativeArea
experienceRequirements,Experience Requirements,Description of skills and experience needed for the position.,JobPosting,Text
language,Language,A sub property of instrument. The languaged used on this action.,WriteAction CommunicateAction,Language
latitude,Latitude,The latitude of a location. For example <code>37.42242</code>.,GeoCoordinates,Number Text
longitude,Longitude,The longitude of a location. For example <code>-122.08585</code>.,GeoCoordinates,Number Text
reviews,Reviews,"Review of the item (legacy spelling; see singular form, review).",Organization Product CreativeWork Place Offer,Review
ratingValue,Rating Value,The rating for the content.,Rating,Text
significantLink,Significant Link,"One of the more significant URLs on the page. Typically, these are the non-navigation links that are clicked on the most.",WebPage,URL
transmissionMethod,Transmission Method,"How the disease spreads, either as a route or vector, for example 'direct contact', 'Aedes aegypti', etc.",InfectiousDisease,Text
inLanguage,In Language,"The language of the content. please use one of the language codes from the <a href=""http://tools.ietf.org/html/bcp47"">IETF BCP 47 standard.</a>",CreativeWork,Text
performer,Performer,"A performer at the event—for example, a presenter, musician, musical group or actor.",Event,Organization Person
isConsumableFor,Is Consumable for,A pointer to another product (or multiple products) for which this product is a consumable.,Product,Product
gtin8,Gtin8,"The GTIN-8 code of the product, or the product to which the offer refers. This code is also known as EAN/UCC-8 or 8-digit EAN.",Product Offer Demand,Text
agent,Agent,The direct performer or driver of the action (animate or inanimate). e.g. *John* wrote a book.,Action,Organization Person
numTracks,Num Tracks,The number of tracks in this album or playlist.,MusicPlaylist,Integer
isRelatedTo,Is Related to,"A pointer to another, somehow related product (or multiple products).",Product,Product
costCategory,Cost Category,"The category of cost, such as wholesale, retail, reimbursement cap, etc.",DrugCost,DrugCostCategory
partOfOrder,Part of Order,The overall order the items in this delivery were included in.,ParcelDelivery,Order
appliesToPaymentMethod,Applies to Payment Method,The payment method(s) to which the payment charge specification applies.,PaymentChargeSpecification,PaymentMethod
identifyingTest,Identifying Test,A diagnostic test that can identify this sign.,MedicalSign,MedicalTest
signDetected,Sign Detected,A sign detected by the test.,MedicalTest,MedicalSign
requirements,Requirements,"Component dependency requirements for application. This includes runtime environments and shared libraries that are not included in the application distribution package, but required to run the application (Examples: DirectX, Java or .NET runtime).",SoftwareApplication,Text URL
produces,Produces,"The tangible thing generated by the service, e.g. a passport, permit, etc.",Service,Thing
sourcedFrom,Sourced From,The neurological pathway that originates the neurons.,Nerve,BrainStructure
maps,Maps,"A URL to a map of the place (legacy spelling; see singular form, map).",Place,URL
streetAddress,Street Address,"The street address. For example, 1600 Amphitheatre Pkwy.",PostalAddress,Text
yearsInOperation,Years in Operation,The age of the business.,BusinessAudience,QuantitativeValue
significance,Significance,"The significance associated with the superficial anatomy; as an example, how characteristics of the superficial anatomy can suggest underlying medical conditions or courses of treatment.",SuperficialAnatomy,Text
publishedOn,Published On,A broadcast service associated with the publication event,PublicationEvent,BroadcastService
performerIn,Performer in,Event that this person is a performer or participant in.,Person,Event
description,Description,A short description of the item.,Thing,Text
unsaturatedFatContent,Unsaturated Fat Content,The number of grams of unsaturated fat.,NutritionInformation,Mass
exifData,Exif Data,exif data for this object.,ImageObject,Text
pregnancyCategory,Pregnancy Category,Pregnancy category of this drug.,Drug,DrugPregnancyCategory
maxValue,Max Value,The upper of the product characteristic.,QuantitativeValue,Number
collection,Collection,A sub property of object. The collection target of the action.,UpdateAction,Thing
stageAsNumber,Stage As Number,"The stage represented as a number, e.g. 3.",MedicalConditionStage,Number
expectedArrivalUntil,Expected Arrival Until,The latest date the package may arrive.,ParcelDelivery,DateTime
catalog,Catalog,A data catalog which contains a dataset.,Dataset,DataCatalog
startTime,Start Time,When the Action was performed: start time. This is for actions that span a period of time. e.g. John wrote a book from *January* to December.,Action,DateTime
clincalPharmacology,Clincal Pharmacology,"Description of the absorption and elimination of drugs, including their concentration (pharmacokinetics, pK) and biological effects (pharmacodynamics, pD).",Drug,Text
alternateName,Alternate Name,An alias for the item.,Thing,Text
contentLocation,Content Location,The location of the content.,CreativeWork,Place
makesOffer,Makes Offer,A pointer to products or services offered by the organization or person.,Person Organization,Offer
hasPOS,Has POS,Points-of-Sales operated by the organization or person.,Person Organization,Place
pathophysiology,Pathophysiology,"Changes in the normal mechanical, physical, and biochemical functions that are associated with this activity or condition.",MedicalCondition PhysicalActivity,Text
discusses,Discusses,Specifies the CreativeWork associated with the UserComment.,UserComments,CreativeWork
secondaryPrevention,Secondary Prevention,A preventative therapy used to prevent reoccurrence of the medical condition after an initial episode of the condition.,MedicalCondition,MedicalTherapy
naturalProgression,Natural Progression,The expected progression of the condition if it is not treated and allowed to progress naturally.,MedicalCondition,Text
serialNumber,Serial Number,"The serial number or any alphanumeric identifier of a particular product. When attached to an offer, it is a shortcut for the serial number of the product included in the offer.",Demand IndividualProduct Offer,Text
codingSystem,Coding System,"The coding system, e.g. 'ICD-10'.",MedicalCode,Text
affectedBy,Affected by,Drugs that affect the test's results.,MedicalTest,Drug
producer,Producer,"The producer of the movie, tv/radio series, season, or episode, or video.",Movie Season Episode Series,Person
isBasedOnUrl,Is Based On Url,"A resource that was used in the creation of this resource. This term can be repeated for multiple sources. For example, http://example.com/great-multiplication-intro.html",CreativeWork,URL
inPlaylist,In Playlist,The playlist to which this recording belongs.,MusicRecording,MusicPlaylist
memoryRequirements,Memory Requirements,Minimum memory requirements.,SoftwareApplication,Text URL
releaseDate,Release Date,The release date of a product or product model. This can be used to distinguish the exact variant of a product.,Product,Date
course,Course,A sub property of location. The course where this action was taken.,ExerciseAction,Place
possibleTreatment,Possible Treatment,"A possible treatment to address this condition, sign or symptom.",MedicalCondition MedicalSignOrSymptom,MedicalTherapy
isGift,Is Gift,Was the offer accepted as a gift for someone other than the buyer.,Order,Boolean
subStageSuffix,Sub Stage Suffix,"The substage, e.g. 'a' for Stage IIIa.",MedicalConditionStage,Text
relatedDrug,Related Drug,"Any other drug related to this one, for example commonly-prescribed alternatives.",Drug,Drug
replyToUrl,Reply to Url,The URL at which a reply may be posted to the specified UserComment.,UserComments,URL
temporal,Temporal,"The range of temporal applicability of a dataset, e.g. for a 2011 census dataset, the year 2011 (in ISO 8601 time interval format).",Dataset,DateTime
clipNumber,Clip Number,Position of the clip within an ordered group of clips.,Clip,Integer
responsibilities,Responsibilities,Responsibilities associated with this role.,JobPosting,Text
bestRating,Best Rating,"The highest value allowed in this rating system. If bestRating is omitted, 5 is assumed.",Rating,Number Text
offers,Offers,"An offer to transfer some rights to an item or to provide a service—for example, an offer to sell tickets to an event, to rent the DVD of a movie, to stream a TV show over the internet, to repair a motorcycle, or to loan a book.",Product CreativeWork Event,Offer
ownedThrough,Owned Through,The date and time of giving up ownership on the product.,OwnershipInfo,DateTime
publishingPrinciples,Publishing Principles,Link to page describing the editorial principles of the organization primarily responsible for the creation of the CreativeWork.,CreativeWork,URL
byArtist,By Artist,The artist that performed this album or recording.,MusicAlbum MusicRecording,MusicGroup
activeIngredient,Active Ingredient,"An active ingredient, typically chemical compounds and/or biologic substances.",DrugStrength DietarySupplement Drug,Text
image,Image,URL of an image of the item.,Thing,URL
breastfeedingWarning,Breastfeeding Warning,"Any precaution, guidance, contraindication, etc. related to this drug's use by breastfeeding mothers.",Drug,Text
colleague,Colleague,A colleague of the person.,Person,Person
mainContentOfPage,Main Content of Page,Indicates if this web page element is the main subject of the page.,WebPage,WebPageElement
greater,Greater,This ordering relation for qualitative values indicates that the subject is greater than the object.,QualitativeValue,QualitativeValue
releaseNotes,Release Notes,Description of what changed in this version.,SoftwareApplication,Text URL
dateCreated,Date Created,The date on which the CreativeWork was created.,CreativeWork,Date
postOp,Post Op,"A description of the postoperative procedures, care, and/or followups for this device.",MedicalDevice,Text
dataset,Dataset,A dataset contained in a catalog.,DataCatalog,Dataset
permissions,Permissions,"Permission(s) required to run the app (for example, a mobile app may require full internet access or may run only on wifi).",SoftwareApplication,Text
workload,Workload,Quantitative measure of the physiologic output of the exercise; also referred to as energy expenditure.,ExercisePlan,Energy
name,Name,The name of the item.,Thing,Text
dateModified,Date Modified,The date on which the CreativeWork was most recently modified.,CreativeWork,Date
addressRegion,Address Region,"The region. For example, CA.",PostalAddress,Text
activityFrequency,Activity Frequency,How often one should engage in the activity.,ExercisePlan,Text
validFor,Valid for,The time validity of the permit.,Permit,Duration
areaServed,Area Served,"The location served by this contact point (e.g., a phone number intended for Europeans vs. North Americans or only within the United States.)",ContactPoint,AdministrativeArea
requiredGender,Required Gender,Audiences defined by a person's gender.,PeopleAudience,Text
trailer,Trailer,"The trailer of a movie or tv/radio series, season, or episode.",Movie Season Episode Series,VideoObject
weight,Weight,The weight of the product.,Product,QuantitativeValue
map,Map,A URL to a map of the place.,Place,URL
musicBy,Music by,The composer of the movie or TV/radio soundtrack.,Series Episode Movie,Person MusicGroup
tissueSample,Tissue Sample,The type of tissue sample required for the test.,PathologyTest,Text
frequency,Frequency,"How often the dose is taken, e.g. 'daily'.",DoseSchedule,Text
sponsor,Sponsor,Sponsor of the study.,MedicalStudy,Organization
encodings,Encodings,"The media objects that encode this creative work (legacy spelling; see singular form, encoding).",CreativeWork,MediaObject
logo,Logo,A logo associated with an organization.,Organization Brand Place Product,URL ImageObject
event,Event,Upcoming or past event associated with this place or organization.,PlayAction Place JoinAction InviteAction Organization InformAction LeaveAction,Event
album,Album,A music album.,MusicGroup,MusicAlbum
availableChannel,Available Channel,"A means of accessing the service (e.g. a phone bank, a web site, a location, etc.)",Service,ServiceChannel
jobLocation,Job Location,A (typically single) geographic location associated with the job position.,JobPosting,Place
productSupported,Product Supported,"The product or service this support contact point is related to (such as product support for a particular product line). This can be a specific product or product line (e.g. ""iPhone"") or a general category of products or services (e.g. ""smartphones"").",ContactPoint,Product Text
fatContent,Fat Content,The number of grams of fat.,NutritionInformation,Mass
applicableLocation,Applicable Location,The location in which the status applies.,DrugLegalStatus DrugCost,AdministrativeArea
foodWarning,Food Warning,"Any precaution, guidance, contraindication, etc. related to consumption of specific foods while taking this drug.",Drug,Text
greaterOrEqual,Greater or Equal,This ordering relation for qualitative values indicates that the subject is greater than or equal to the object.,QualitativeValue,QualitativeValue
strengthValue,Strength Value,"The value of an active ingredient's strength, e.g. 325.",DrugStrength,Number
isPartOf,Is Part of,Indicates the collection or gallery to which the item belongs.,WebPage,CollectionPage
cause,Cause,"An underlying cause. More specifically, one of the causative agent(s) that are most directly responsible for the pathophysiologic process that eventually results in the occurrence.",MedicalCondition MedicalSignOrSymptom,MedicalCause
primaryImageOfPage,Primary Image of Page,Indicates the main image on the page,WebPage,ImageObject
contentSize,Content Size,File size in (mega/kilo) bytes.,MediaObject,Text
contentUrl,Content Url,"Actual bytes of the media object, for example the image file or video file. (previous spelling: contentURL)",MediaObject,URL
attendee,Attendee,A person or organization attending the event.,Event,Organization Person
activityDuration,Activity Duration,Length of time to engage in the activity.,ExercisePlan,Duration
educationalAlignment,Educational Alignment,An alignment to an established educational framework.,CreativeWork,AlignmentObject
scheduledTime,Scheduled Time,The time the object is scheduled to.,PlanAction,DateTime
incentives,Incentives,Description of bonus and commission compensation aspects of the job.,JobPosting,Text
free,Free,A flag to signal that the publication is accessible for free.,PublicationEvent,Boolean
dependencies,Dependencies,Prerequisites needed to fulfill steps in article.,TechArticle,Text
hoursAvailable,Hours Available,The hours during which this contact point is available.,ContactPoint,OpeningHoursSpecification
members,Members,"A member of this organization (legacy spelling; see singular form, member).",Organization,Organization Person
duns,Duns,The Dun & Bradstreet DUNS number for identifying an organization or business person.,Person Organization,Text
prepTime,Prep Time,"The length of time it takes to prepare the recipe, in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 duration format</a>.",Recipe,Duration
diagram,Diagram,An image containing a diagram that illustrates the structure and/or its component substructures and/or connections with other structures.,AnatomicalStructure,ImageObject
availabilityEnds,Availability Ends,The end of the availability of the product or service included in the offer.,Offer Demand,DateTime
benefits,Benefits,Description of benefits associated with the job.,JobPosting,Text
numberofEmployees,Numberof Employees,The size of business by number of employees.,BusinessAudience,QuantitativeValue
numberOfPages,Number of Pages,The number of pages in the book.,Book,Integer
calories,Calories,The number of calories,NutritionInformation,Energy
subEvent,Sub Event,"An Event that is part of this event. For example, a conference event includes many presentations, each are a subEvent of the conference.",Event,Event
caption,Caption,The caption for this object.,VideoObject ImageObject,Text
sugarContent,Sugar Content,The number of grams of sugar.,NutritionInformation,Mass
studyDesign,Study Design,Specifics about the observational study design (enumerated).,MedicalObservationalStudy,MedicalObservationalStudyDesign
storageRequirements,Storage Requirements,Storage requirements (free space required).,SoftwareApplication,Text URL
nonEqual,Non Equal,This ordering relation for qualitative values indicates that the subject is not equal to the object.,QualitativeValue,QualitativeValue
globalLocationNumber,Global Location Number,"The Global Location Number (GLN, sometimes also referred to as International Location Number or ILN) of the respective organization, person, or place. The GLN is a 13-digit number used to identify parties and physical locations.",Person Place Organization,Text
educationalUse,Educational Use,"The purpose of a work in the context of education; for example, 'assignment', 'group work'.",CreativeWork,Text
startDate,Start Date,"The start date and time of the event or item (in <a href=""http://en.wikipedia.org/wiki/ISO_8601"">ISO 8601 date format</a>).",Series Event Season,Date
possibleComplication,Possible Complication,"A possible unexpected and unfavorable evolution of a medical condition. Complications may include worsening of the signs or symptoms of the disease, extension of the condition to other organ systems, etc.",MedicalCondition,Text
isbn,ISBN,The ISBN of the book.,Book,Text
arterialBranch,Arterial Branch,The branches that comprise the arterial structure.,Artery,AnatomicalStructure
encoding,Encoding,A media object that encode this CreativeWork.,CreativeWork,MediaObject
sameAs,Same As,"URL of a reference Web page that unambiguously indicates the item's identity. E.g. the URL of the item's Wikipedia page, Freebase page, or official website.",Thing,URL
trialDesign,Trial Design,Specifics about the trial design (enumerated).,MedicalTrial,MedicalTrialDesign
faxNumber,Fax Number,The fax number.,Person ContactPoint Place Organization,Text
billingIncrement,Billing Increment,This property specifies the minimal quantity and rounding increment that will be the basis for the billing. The unit of measurement is specified by the unitCode property.,UnitPriceSpecification,Number
videoQuality,Video Quality,The quality of the video.,VideoObject,Text
bloodSupply,Blood Supply,The blood vessel that carries blood from the heart to the muscle.,Muscle,Vessel
hiringOrganization,Hiring Organization,Organization offering the job position.,JobPosting,Organization
accessibilityFeature,Accessibility Feature,"Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility (<a href=""http://www.w3.org/wiki/WebSchemas/Accessibility"">WebSchemas wiki lists possible values</a>).",CreativeWork,Text
publication,Publication,"A publication event associated with the episode, clip or media object.",MediaObject Episode Clip,PublicationEvent
relevantSpecialty,Relevant Specialty,"If applicable, a medical specialty in which this entity is relevant.",MedicalEntity,MedicalSpecialty
codeRepository,Code Repository,"Link to the repository where the un-compiled, human readable code and related code is located (SVN, github, CodePlex)",Code,URL
taxID,Tax ID,"The Tax / Fiscal ID of the organization or person, e.g. the TIN in the US or the CIF/NIF in Spain.",Person Organization,Text
accessCode,Access Code,"Password, PIN, or access code needed for delivery (e.g. from a locker).",DeliveryEvent,Text
